source,target,weight
1000117892640329730,2195550221,1
1001093201330163713,1241307294148825093,4
1001093201330163713,1242948664110321664,1
1001093201330163713,197853971,1
1001093201330163713,2185194511,1
1001093201330163713,267568419,1
1001093201330163713,291185646,5
1001093201330163713,725052515256025089,1
1001341269023617024,1242948664110321664,1
1002475843,1242948664110321664,1
1002494009464492032,237670274,2
1002494009464492032,267568419,1
1002494009464492032,291185646,1
1003101647365476352,1241307294148825093,7
1003101647365476352,1242948664110321664,4
1003101647365476352,267568419,2
1003386123912142849,1241307294148825093,4
1003386123912142849,267568419,1
1003386123912142849,291185646,1
1004859560786612224,1241307294148825093,1
1004859560786612224,1242948664110321664,1
1005503692349624320,1241307294148825093,1
1005503692349624320,2195550221,1
1005503692349624320,267568419,1
1005503692349624320,291185646,1
1005509932526047232,883016728426536960,1
100556057,97339548,1
1005987312008876032,282168818,5
1006310233,1241307294148825093,5
1006310233,1242948664110321664,3
1006310233,267568419,2
1006651294331932672,1242948664110321664,1
1007049613336031233,1242948664110321664,2
1007049613336031233,2630270138,1
1007049613336031233,282168818,6
100707521,267568419,2
100735829,1241307294148825093,1
100735829,1242948664110321664,1
100735829,1243104176315478016,1
100735829,291185646,1
1008393642359361537,1241307294148825093,1
1008393642359361537,267568419,1
1008393642359361537,291185646,1
1008862658794172416,282168818,1
1010971071074504704,1212406013619363842,4
1010971071074504704,1241307294148825093,3
1010971071074504704,291185646,1
1011616865385418752,1241307294148825093,4
1011616865385418752,1242948664110321664,2
1011616865385418752,267568419,3
1011616865385418752,291185646,2
101174830,2493265086,1
101174830,291185646,1
1015007161775153153,1242948664110321664,2
1015007161775153153,2568043544,2
1015007161775153153,267568419,1
1015007161775153153,832372267,1
1015122201182261249,410160829,1
1015362794877747200,1241307294148825093,1
1015362794877747200,1242948664110321664,5
1015362794877747200,237670274,1
1015362794877747200,267568419,1
1016295158281715712,291185646,1
1016403034203713538,1241307294148825093,11
1016403034203713538,1242948664110321664,6
1016403034203713538,237670274,2
1016403034203713538,240364833,10
1016403034203713538,267568419,3
1016403034203713538,291185646,16
1016403034203713538,44183483,1
1016403034203713538,883016728426536960,5
1016577716093620224,2957406928,3
101787074,1241307294148825093,3
101787074,1242948664110321664,2
101787074,291185646,4
1018168783830179840,1241307294148825093,1
1018168783830179840,1242948664110321664,2
1018534009830244352,267568419,1
1019845646172459008,883016728426536960,1
102092380,1242948664110321664,1
1021061208059899904,1241307294148825093,20
1021061208059899904,1242948664110321664,8
1021061208059899904,2195550221,3
1021061208059899904,3072307313,1
1021302180056371200,1241307294148825093,20
1021302180056371200,1242948664110321664,5
1021302180056371200,267568419,3
1021302180056371200,291185646,3
1021347942932910081,267568419,1
1021347942932910081,67397455,1
1021660360301006849,1207342973001879557,1
1022156487265865728,883016728426536960,2
1022403485000761349,1242948664110321664,2
1022403485000761349,942427079341232129,1
1023197976821460992,1242948664110321664,1
1023880655615217664,1241307294148825093,10
1023880655615217664,1242948664110321664,16
1023880655615217664,267568419,1
1023880655615217664,291185646,10
1023930880371372032,1277867737,1
1023974119094673411,237670274,1
1025691931379154945,1241307294148825093,1
1025691931379154945,1242948664110321664,1
1025691931379154945,267568419,1
1025691931379154945,291185646,1
1026598400731566080,1241307294148825093,2
1026598400731566080,1242948664110321664,2
1026598400731566080,267568419,1
1026598400731566080,291185646,1
1027912129993748481,237670274,1
1028039236329631749,1242948664110321664,1
102806263,1242948664110321664,1
1028783496221872129,1630805862,1
1028783496221872129,282168818,2
1028972708330123266,1241307294148825093,1
1028972708330123266,19614615,1
1028972708330123266,267568419,1
1028972708330123266,883016728426536960,1
1028972708330123266,939010904,1
1028972708330123266,957595720231673856,5
1029004956844605446,1242948664110321664,1
1029263992815013888,102806263,1
1029263992815013888,1242948664110321664,1
1029263992815013888,15439395,1
1030078961055875072,47722415,2
1033788383452176385,237670274,1
1033788383452176385,282168818,1
1034463821757390849,1241307294148825093,1
1036063233285677056,883016728426536960,1
1036814034513915904,17735019,1
1036814034513915904,4847901676,2
1036970198081908736,883016728426536960,1
1037002892127940608,1241307294148825093,12
1037002892127940608,1242948664110321664,18
