source,target,weight
1000814363954040832,112125663,1
1001093201330163713,1228363893564694528,1
1001093201330163713,290179649,4
1001093201330163713,291185646,1
1001631647400374272,1114612239565303808,1
1002494009464492032,237670274,1
1002494009464492032,290179649,1
1003213434882809856,237670274,2
1003256726387347456,2195550221,1
1003256726387347456,282168818,2
1003256726387347456,883016728426536960,2
100488775,4847901676,1
1005118766,14132591,2
100548335,282168818,1
1005987312008876032,282168818,2
1010971071074504704,1212406013619363842,2
1010971071074504704,399931157,1
1010971071074504704,822180013340553216,1
1011616865385418752,112125663,1
1011889539630206976,237670274,1
1011889539630206976,290179649,2
1011924694554103809,112125663,1
1011924694554103809,883016728426536960,1
1012020753246621696,112125663,1
1012020753246621696,144112800,1
1012020753246621696,18393773,1
1012020753246621696,18912325,1
1012020753246621696,24343921,1
1012020753246621696,284410889,1
1012020753246621696,290179649,1
1012020753246621696,291185646,1
1012020753246621696,419532697,1
101320565,112125663,1
101320565,290179649,1
101320565,291185646,1
1013534740484411397,2195550221,1
1014105365280186368,1024840482298507264,3
1014105365280186368,112125663,1
1014105365280186368,171031365,1
1014105365280186368,237670274,1
1014105365280186368,282168818,1
1014105365280186368,290179649,7
1014105365280186368,291185646,2
1014105365280186368,3327887445,3
1014105365280186368,398041988,1
1014105365280186368,419532697,1
1014105365280186368,883016728426536960,5
1016001044,419532697,1
1016403034203713538,112125663,1
1016403034203713538,112400302,2
1016403034203713538,240364833,5
1016403034203713538,290179649,10
1016403034203713538,291185646,3
1016461676592459776,290179649,1
1016577716093620224,2957406928,1
101787074,291185646,1
1018992433214971905,290179649,1
1018992433214971905,74835605,1
1019714689373175808,290179649,1
1020105144,112125663,2
1020105144,14132591,1
1020105144,290179649,9
1020105144,291185646,1
1020105144,47391671,1
1022213151515963394,1165690094461882368,1
1023880655615217664,112125663,4
1023880655615217664,237670274,1
1023880655615217664,290179649,1
1023880655615217664,291185646,3
1023880655615217664,419532697,2
1023880655615217664,47722415,1
1023880655615217664,883016728426536960,1
102414996,112125663,1
102461337,291185646,1
1024840482298507264,112400302,1
