source,target,weight
1000814363954040832,1241307294148825093,1
1001093201330163713,1127648727819333632,1
1001093201330163713,1241307294148825093,1
1001093201330163713,237670274,1
1001093201330163713,2496933883,1
1002294717814640642,237670274,1
1002294717814640642,37972440,1
1002686576,1241307294148825093,2
1002686576,19812115,2
1002686576,2185194511,1
1002686576,282168818,1
1003386123912142849,1241307294148825093,3
1003386123912142849,19812115,1
1003692374667747328,4847901676,1
1003890431665623040,1241307294148825093,1
100469207,1241307294148825093,1
100512850,1241307294148825093,4
1005417026813415429,1241307294148825093,4
1005417026813415429,354188080,1
1005987312008876032,282168818,2
1006076694464225280,22297979,1
1007049613336031233,1026161281127116800,1
1007049613336031233,1101620782675968005,1
1007049613336031233,1113855736281481217,1
1007049613336031233,1241307294148825093,6
1007049613336031233,282168818,1
1007054264122920961,4847901676,1
101075484,1241307294148825093,1
1011547799597518855,1026161281127116800,1
1011547799597518855,1241307294148825093,1
1011547799597518855,2185194511,1
1011547799597518855,282168818,1
1011547799597518855,291185646,1
1011547799597518855,883016728426536960,1
1011616865385418752,1241307294148825093,1
1011924694554103809,1241307294148825093,3
1011924694554103809,19812115,1
1011924694554103809,883016728426536960,1
1012020753246621696,237670274,2
1012020753246621696,37972440,2
10123222,844514419686158336,2
1012747260449476608,237670274,1
1012808341100392454,1241307294148825093,1
1013534740484411397,1241307294148825093,1
1013534740484411397,19812115,2
1014798843488231424,1241307294148825093,1
1016403034203713538,1241307294148825093,3
1016403034203713538,19812115,1
1016403034203713538,237670274,1
1016403034203713538,240364833,2
1016403034203713538,291185646,5
1016403034203713538,883016728426536960,3
1016577716093620224,2957406928,1
101787074,1241307294148825093,1
101830584,1241307294148825093,1
1018447610,1241307294148825093,1
1018485466025332736,1241307294148825093,1
1021061208059899904,1241307294148825093,11
1021061208059899904,19812115,3
1021061208059899904,291185646,1
1021061208059899904,74835605,1
1021099098227847168,237670274,1
1021099098227847168,37972440,1
1021302180056371200,1241307294148825093,16
1021302180056371200,19812115,16
1021724061087531008,282168818,1
1021724061087531008,3327887445,1
1021724061087531008,883016728426536960,2
1021724061087531008,939010904,1
1022894411728936960,1011038989044903937,1
1022894411728936960,1022894411728936960,1
1022894411728936960,19812115,1
1023336448269996033,237670274,1
1023336448269996033,354188080,1
1023880655615217664,1241307294148825093,9
1023880655615217664,19812115,2
1023880655615217664,291185646,4
1023880655615217664,963754316,1
102461337,1241307294148825093,1
1025157316860162048,1241307294148825093,3
1025157316860162048,291185646,1
1025900099581472768,1241307294148825093,1
1026492522384773124,1107986251557167104,1
1026492522384773124,1241307294148825093,1
1026492522384773124,19812115,1
1026492522384773124,22602597,1
1026492522384773124,424524933,1
1026985382,1113855736281481217,1
1026985382,282168818,1
1030695134,1241307294148825093,1
1030695134,19812115,1
1033404417687441408,1241307294148825093,1
1036368468814249991,1241307294148825093,1
1037002892127940608,1241307294148825093,9
1037002892127940608,19812115,7
1037002892127940608,291185646,2
1038411006375079936,1241307294148825093,1
1039426411071717376,1542862735,1
104056135,1241307294148825093,2
104056135,301705809,1
1040613634341314560,191166570,1
1040706537185005569,725052515256025089,1
1041086730,282168818,1
1042144663766016001,1241307294148825093,28
1042144663766016001,19812115,13
1042422401001250816,1241307294148825093,1
1044301474665238528,1241307294148825093,1
1044301474665238528,19812115,1
1044301474665238528,2195550221,1
1047402992696283136,1241307294148825093,1
1047402992696283136,19812115,1
1047579270,1241307294148825093,1
1047677043507384320,4847901676,2
1047677043507384320,883016728426536960,1
1048178654,886318405699215361,1
1048694178027327488,17099285,1
1049722556322856960,1241307294148825093,53
1049722556322856960,19812115,53
1050803092835459072,237670274,1
1050803092835459072,37972440,1
105254417,301705809,1
105254417,4847901676,1
1053325192016158730,1241307294148825093,1
1054533048602165249,4366081282,1
1056735215182376960,1241307294148825093,1
1056735215182376960,19812115,1
1058109359518031877,1026492522384773124,1
1058109359518031877,1114535751277076480,1
1058109359518031877,1241307294148825093,4
1058109359518031877,19812115,4
1058109359518031877,744551780420296704,1
1059800344652328961,2957406928,1
1060079353655103488,1241307294148825093,8
1060079353655103488,19812115,3
1060591639,883016728426536960,2
1060621295270928384,301705809,1
106232172,291185646,1
106247665,1241307294148825093,1
106247665,19812115,1
106247665,237670274,1
106247665,301705809,1
106340241,1241307294148825093,1
106382065,237670274,1
1064238298170908674,1241307294148825093,7
1064502354249162759,19543936,1
1064502354249162759,237670274,1
1064502354249162759,389229444,1
1066067299424178176,1241307294148825093,8
1066067299424178176,750512815,1
1066178479,1241307294148825093,1
1067065956038557696,291185646,1
1068236197,1241307294148825093,1
1069264425314594817,1241307294148825093,1
1069264425314594817,19812115,1
1069543874,1241307294148825093,1
1069543874,19812115,1
1069543874,291185646,1
1069713189565317120,1241307294148825093,2
1069984794845560832,1241307294148825093,1
1070438447314321409,1241307294148825093,1
1071335253837574144,1241307294148825093,1
1071335253837574144,1241433581307613185,1
1071402104,106340241,1
1071402104,1101620782675968005,1
1071402104,1107986251557167104,1
1071402104,1111041100981170176,2
1071402104,1214887924115873794,1
1071402104,1241307294148825093,5
1071402104,1241433581307613185,3
1071402104,1244462008495493121,1
1071402104,131031011,1
1071402104,1360212541,1
1071402104,186582233,1
1071402104,19812115,2
1071402104,20900777,1
1071402104,2354696849,1
1071402104,240364833,1
1071402104,249088295,1
1071402104,2496933883,1
1071402104,25270513,1
1071402104,291185646,2
1071402104,2957406928,1
1071402104,297286183,2
1071402104,4366081282,1
1071402104,551741950,1
1071402104,597344687,1
1071402104,7267142,1
1071402104,749192804082089984,1
1071402104,775367072360431616,1
1071402104,794284128686534656,1
1071402104,939010904,1
1071402104,947995285,1
1072210115326066688,1114535751277076480,1
1072210115326066688,1241307294148825093,11
1072210115326066688,19812115,2
1072210115326066688,2185194511,2
1072210115326066688,291185646,2
1072210115326066688,73731649,1
1072528296162680833,1241307294148825093,3
1072528296162680833,1244462008495493121,1
1072528296162680833,282168818,1
1072528296162680833,870235988756443137,1
1072528296162680833,883016728426536960,1
1072839296208515073,1241307294148825093,1
1073221998795517953,1241307294148825093,2
1073221998795517953,19812115,1
1077536546788651008,1241307294148825093,1
1078309622094749698,354188080,1
1078964321315667969,1241307294148825093,1
1078964321315667969,19812115,1
1078964321315667969,26966080,1
1078964321315667969,399931157,1
1078964321315667969,4653181881,1
1078964321315667969,546071988,1
1081678979311026177,1241307294148825093,5
1081678979311026177,19812115,3
1082744660429365248,1241307294148825093,1
1082744660429365248,19812115,1
1085282184649498624,354188080,1
1086810983316799490,1241307294148825093,1
1087391127341289473,1241307294148825093,1
1087428379,1241307294148825093,1
1087727077242097666,19812115,1
1087879147274334208,1241307294148825093,1
1088512291052679169,1241307294148825093,1
1090692323699249155,1241307294148825093,9
1090692323699249155,22602597,1
1090692323699249155,424524933,1
1090692323699249155,529551038,2
1091158249758511104,1241307294148825093,1
1092576385837740038,1241307294148825093,1
1092630240168423424,4847901676,1
1095745638820655110,1241307294148825093,1
1095843643980685312,1096773757757202433,1
1095843643980685312,1114535751277076480,1
1095843643980685312,1241307294148825093,15
1095843643980685312,19812115,11
1095843643980685312,291185646,2
1095843643980685312,4366081282,1
1096773757757202433,1241307294148825093,32
1096773757757202433,19812115,17
1096773757757202433,22602597,1
1096773757757202433,291185646,1
1096773757757202433,424524933,1
1097713132934479872,291185646,1
1099597159,1241307294148825093,1
1101495141641072640,883016728426536960,1
1101620782675968005,1096773757757202433,1
1101620782675968005,1107986251557167104,1
1101620782675968005,1114535751277076480,1
1101620782675968005,1241307294148825093,20
1101620782675968005,1244462008495493121,1
1101620782675968005,19812115,10
1101620782675968005,237670274,1
1101620782675968005,282168818,1
1101620782675968005,291185646,1
1101620782675968005,369373698,1
1101620782675968005,49977879,1
1101620782675968005,870235988756443137,1
1101620782675968005,936399964930035712,1
1101620782675968005,964113035236401152,1
1102300002163048448,1241307294148825093,3
1102518171330928640,14344823,1
1102518171330928640,15207668,1
1102518171330928640,43963249,1
1103187081050943489,1496448092,1
1104998930557923329,1241307294148825093,1
1104998930557923329,19812115,2
1105946231417778176,237670274,1
1105946231417778176,37972440,1
1106147935,1241307294148825093,1
1106147935,237670274,1
1107986251557167104,1241307294148825093,6
1107986251557167104,20900777,1
1107986251557167104,811282554921877505,1
1109915969244356608,237670274,1
1110552388400832513,1241307294148825093,1
1110552388400832513,19812115,1
1110940706267426819,1241307294148825093,1
1110940706267426819,2496933883,1
1110940706267426819,3327887445,1
1110940706267426819,883016728426536960,2
1110979448436867072,1241307294148825093,1
1111041100981170176,1241307294148825093,4
1111367626247294976,1241307294148825093,9
1111367626247294976,19812115,5
1113855736281481217,1026985382,1
1113855736281481217,1241307294148825093,1
1113855736281481217,19812115,1
1113855736281481217,282168818,2
1113855736281481217,291185646,2
1113855736281481217,883016728426536960,1
1116083648699273217,1241307294148825093,1
1116793431144181761,1241307294148825093,2
1116846780426092544,14132591,1
1116846780426092544,15433982,1
1116846780426092544,213260032,1
1116846780426092544,224589396,1
1116846780426092544,237670274,1
1116846780426092544,2393124608,1
1116846780426092544,2603715265,1
1116846780426092544,282168818,1
1116846780426092544,489808285,1
1116846780426092544,932852485,1
1116846780426092544,966353605077938176,1
1117863571843690497,1241307294148825093,1
1117863571843690497,1277867737,1
1117863571843690497,4847901676,1
1117863571843690497,819992986671005696,1
1119223807833722880,1241307294148825093,4
1119317085308497922,1241307294148825093,1
1119436056,1241307294148825093,1
1119698169561079809,1241307294148825093,1
1121378803559747584,1116846780426092544,1
1121378803559747584,14132591,1
1121378803559747584,213260032,1
1121378803559747584,2393124608,1
1121687387896078336,1126095952111177729,1
1121687387896078336,1241307294148825093,1
1121839721922138117,1241307294148825093,1
1122074480162037760,1241307294148825093,1
1122074480162037760,19812115,1
112269327,1241307294148825093,1
1126095952111177729,1241307294148825093,2
1126309251817799680,19812115,1
1127384185352654849,939010904,1
112818832,1182406463991549952,1
112818832,1241307294148825093,2
112818832,19812115,1
112818832,291185646,1
1129356510834958336,1241307294148825093,35
1129356510834958336,19812115,8
1129356510834958336,291185646,3
1129356510834958336,481216430,1
1130127366695600128,1241307294148825093,2
1130127366695600128,237670274,2
1132328235675602944,19812115,1
1132328235675602944,4366081282,1
1132328235675602944,883016728426536960,2
1133812859052404736,1241307294148825093,1
1135903765897383938,1241307294148825093,2
1136011365544538112,1241307294148825093,1
1136011365544538112,2276663923,1
1136011365544538112,282168818,1
1136966912754290688,1241307294148825093,2
1137870527941529600,19812115,2
1138063568648253440,1241307294148825093,1
1138063568648253440,237670274,1
1138939999,1241307294148825093,1
1139691182,1241307294148825093,3
1139691182,19812115,1
1139691182,291185646,1
1140196567,1241307294148825093,1
1140196567,165536228,1
1140196567,19812115,1
1140196567,291185646,1
114309885,1241307294148825093,4
114309885,19812115,1
1143108696135913476,237670274,1
1143108696135913476,37972440,1
1145457942315057152,115671519,1
1145457942315057152,1186755627588210696,1
1145457942315057152,1241307294148825093,18
1145457942315057152,186582233,1
1145457942315057152,19812115,7
1145457942315057152,24518161,1
1145457942315057152,2496933883,1
1145457942315057152,2708805151,1
1145457942315057152,291185646,5
1145457942315057152,301705809,7
1145457942315057152,40018644,1
1145457942315057152,4847901676,2
1145457942315057152,527018132,1
1145457942315057152,581331535,1
1145457942315057152,725052515256025089,1
1145457942315057152,780764717371437056,1
