source,target,weight
1000814363954040832,278549435,1
1001093201330163713,1569903307,1
1001093201330163713,237670274,2
1001093201330163713,247179686,1
1001093201330163713,278549435,1
1001093201330163713,291185646,2
1001093201330163713,966366763452649475,2
1001269206,247179686,1
1001269206,278549435,1
1003692374667747328,4847901676,1
1003947193303224321,1163002763040690177,2
1003947193303224321,247179686,12
1003947193303224321,26966080,2
1003947193303224321,278549435,10
1003947193303224321,291185646,9
1003947193303224321,74835605,2
1003947193303224321,749269590266548224,1
1003947193303224321,822180013340553216,2
1003947193303224321,939010904,2
1005403226718523392,4847901676,1
1005744796235943936,4847901676,1
1006076694464225280,247179686,1
1006076694464225280,960669849415487489,1
1007049613336031233,247179686,2
1007049613336031233,278549435,1
1007049613336031233,282168818,4
1007049613336031233,620795151,1
100735829,247179686,1
1011186823387807745,282168818,1
1011616865385418752,247179686,2
10123222,247179686,1
1016403034203713538,14132591,1
1016403034203713538,224589396,1
1016403034203713538,247179686,10
1016403034203713538,278549435,5
1016403034203713538,282168818,1
1016403034203713538,291185646,5
1016403034203713538,74835605,1
101787074,247179686,1
101787074,291185646,1
1019925281879089153,282168818,1
1019925281879089153,922152607157772292,1
1020307016894615553,278549435,2
1020322664429178881,247179686,4
1021061208059899904,247179686,4
1021061208059899904,278549435,2
1021061208059899904,282168818,1
1021302180056371200,247179686,33
1021302180056371200,278549435,12
1021302180056371200,282168818,1
1021302180056371200,291185646,2
1021724061087531008,939010904,1
1021756947429814272,1334512525,1
1022267398026653697,1131234343941132288,4
1022267398026653697,1891576674,1
1022267398026653697,282168818,1
1022267398026653697,4847901676,2
1022267398026653697,781531357973475329,1
1023880655615217664,247179686,7
1023880655615217664,278549435,1
1023880655615217664,291185646,1
1023880655615217664,706876069,1
1023880655615217664,930171289,1
102414996,247179686,2
102414996,278549435,1
1026161281127116800,3131146787,1
1027545101097164800,278549435,1
102867292,282168818,1
1028972708330123266,247179686,4
1028972708330123266,278549435,2
1028972708330123266,291185646,1
1028972708330123266,3131146787,1
1028972708330123266,754493854561275904,1
1029263992815013888,291185646,1
1029517671988187136,19344678,1
1029517671988187136,247179686,1
1029517671988187136,278549435,1
1029517671988187136,291185646,1
1029517671988187136,3350715784,1
1031685683411386369,4847901676,1
1033120227914121220,247179686,1
1034638544,237670274,1
1038411006375079936,282168818,1
1040613634341314560,247179686,4
1040613634341314560,278549435,1
1040613634341314560,291185646,2
1040650125981282304,247179686,1
1040658035910340608,278549435,1
1040706537185005569,1569903307,1
1041086730,282168818,3
104141401,247179686,22
104141401,278549435,8
104141401,291185646,2
1042026009904771074,247179686,10
1042026009904771074,278549435,3
1042026009904771074,291185646,1
1043440561871577089,14132591,1
1043440561871577089,278549435,3
1043440561871577089,725052515256025089,2
1044301474665238528,247179686,2
1044301474665238528,848268580852563968,1
